title,price,rating,reviews,image_link
"Audio-Technica ATN3600L Replacement Stylus for AT-LP60 Turntable,Small",$23.92,4.7 out of 5 stars,"5,811 ratings",https://m.media-amazon.com/images/I/712-45TSipL.__AC_SX300_SY300_QL70_ML2_.jpg
"StarTech.com 12ft (3.6m) Computer Power Cord, NEMA 5-15P to C13, 10A 125V, 18AWG, Black Replacement AC Power Cord, Printer Power Cord, PC Power Supply Cable, Monitor Power Cable - UL Listed (PXT10112)",$10.99,4.8 out of 5 stars,"12,702 ratings",https://m.media-amazon.com/images/I/81EQDbxTYVL.__AC_SX300_SY300_QL70_ML2_.jpg
"Monoprice 103844 250ft 12AWG CL2 Rated 2-Conductor Loud Speaker Cable (for In-Wall Installation), White",$140.49,4.8 out of 5 stars,288 ratings,https://m.media-amazon.com/images/I/4104OvYWH8L.__AC_SY300_SX300_QL70_ML2_.jpg
"Monoprice 108231 2-Channel A/B Speaker Selector - Black with Volume Control, Built in Independent Volume Controls, Accepts Wire Gauges Up to 14AWG",$41.99,3.9 out of 5 stars,284 ratings,https://m.media-amazon.com/images/I/51zW8PG1dAL.__AC_SY300_SX300_QL70_ML2_.jpg
Monoprice 102820 100ft 14AWG CL2 Rated 2-Conductor Loud Speaker Cable (for In-Wall Installation) CL2 Rated | 2-Conductor,$51.48,4.8 out of 5 stars,"1,752 ratings",https://m.media-amazon.com/images/I/319PPVPriBL._SY445_SX342_QL70_ML2_.jpg
"Pyle Home Audio Power Amplifier System - 300W 4 Channel Theater Power Stereo Sound Receiver Box Entertainment w/ USB, RCA, AUX, Mic w/ Echo, LED, Remote - For Speaker, iPhone, PA, Studio Use PT390AU",$46.58,4.0 out of 5 stars,701 ratings,https://m.media-amazon.com/images/I/71YDZhcSNQL.__AC_SX300_SY300_QL70_ML2_.jpg
"Dual Electronics MH200 Universal Gimbal Marine Radio Housing Unit, Transparent Fold-Down Door, Fully Enclosed Design, Single DIN, White",$32.97,4.5 out of 5 stars,849 ratings,https://m.media-amazon.com/images/I/61zC-gfyMcL.__AC_SY300_SX300_QL70_ML2_.jpg
"Monoprice 104041 Access Series 16 Gauge AWG CL2 Rated 4 Conductor Speaker Wire/ Cable - 100ft Fire Safety In Wall Rated, Jacketed In White PVC material 99.9% Oxygen-Free Pure Bare Copper",$55.92,4.6 out of 5 stars,278 ratings,https://m.media-amazon.com/images/I/51Tv6DVzt8L.__AC_SY300_SX300_QL70_ML2_.jpg
Sangean RCR-5BK AM/FM Digital Tuning Clock Radio,$45.03,4.0 out of 5 stars,"2,227 ratings",https://m.media-amazon.com/images/I/81nhfxnOixL.__AC_SY300_SX300_QL70_ML2_.jpg
"Monoprice Access Series 12 Gauge AWG CL2 Rated 2 Conductor Speaker Wire/ Cable - 100ft Fire Safety In Wall Rated, Jacketed In White PVC material 99.9% Oxygen-Free Pure Bare Copper",$64.92,4.8 out of 5 stars,389 ratings,https://m.media-amazon.com/images/I/41DdlmEIJPL.__AC_SX300_SY300_QL70_ML2_.jpg
